HomeTeam,AwayTeam,FTHG,FTAG,Year
Bournemouth,Aston Villa,0,1,2015
Chelsea,Swansea,2,2,2015
Everton,Watford,2,2,2015
Leicester,Sunderland,4,2,2015
Man United,Tottenham,1,0,2015
Norwich,Crystal Palace,1,3,2015
Arsenal,West Ham,0,2,2015
Newcastle,Southampton,2,2,2015
Stoke,Liverpool,0,1,2015
West Brom,Man City,0,3,2015
Aston Villa,Man United,0,1,2015
Southampton,Everton,0,3,2015
Sunderland,Norwich,1,3,2015
Swansea,Newcastle,2,0,2015
Tottenham,Stoke,2,2,2015
Watford,West Brom,0,0,2015
West Ham,Leicester,1,2,2015
Crystal Palace,Arsenal,1,2,2015
Man City,Chelsea,3,0,2015
Liverpool,Bournemouth,1,0,2015
Crystal Palace,Aston Villa,2,1,2015
Leicester,Tottenham,1,1,2015
Man United,Newcastle,0,0,2015
Norwich,Stoke,1,1,2015
Sunderland,Swansea,1,1,2015
West Ham,Bournemouth,3,4,2015
Everton,Man City,0,2,2015
Watford,Southampton,0,0,2015
West Brom,Chelsea,2,3,2015
Arsenal,Liverpool,0,0,2015
Aston Villa,Sunderland,2,2,2015
Bournemouth,Leicester,1,1,2015
Chelsea,Crystal Palace,1,2,2015
Liverpool,West Ham,0,3,2015
Man City,Watford,2,0,2015
Newcastle,Arsenal,0,1,2015
Stoke,West Brom,0,1,2015
Tottenham,Everton,0,0,2015
Southampton,Norwich,3,0,2015
Swansea,Man United,2,1,2015
Arsenal,Stoke,2,0,2015
Crystal Palace,Man City,0,1,2015
Everton,Chelsea,3,1,2015
Man United,Liverpool,3,1,2015
Norwich,Bournemouth,3,1,2015
Watford,Swansea,1,0,2015
West Brom,Southampton,0,0,2015
Leicester,Aston Villa,3,2,2015
Sunderland,Tottenham,0,1,2015
West Ham,Newcastle,2,0,2015
Aston Villa,West Brom,0,1,2015
Bournemouth,Sunderland,2,0,2015
Chelsea,Arsenal,2,0,2015
Man City,West Ham,1,2,2015
Newcastle,Watford,1,2,2015
Stoke,Leicester,2,2,2015
Swansea,Everton,0,0,2015
Liverpool,Norwich,1,1,2015
Southampton,Man United,2,3,2015
Tottenham,Crystal Palace,1,0,2015
Leicester,Arsenal,2,5,2015
Liverpool,Aston Villa,3,2,2015
Man United,Sunderland,3,0,2015
Newcastle,Chelsea,2,2,2015
Southampton,Swansea,3,1,2015
Stoke,Bournemouth,2,1,2015
Tottenham,Man City,4,1,2015
West Ham,Norwich,2,2,2015
Watford,Crystal Palace,0,1,2015
West Brom,Everton,2,3,2015
Aston Villa,Stoke,0,1,2015
Bournemouth,Watford,1,1,2015
Chelsea,Southampton,1,3,2015
Crystal Palace,West Brom,2,0,2015
Man City,Newcastle,6,1,2015
Norwich,Leicester,1,2,2015
Sunderland,West Ham,2,2,2015
Arsenal,Man United,3,0,2015
Everton,Liverpool,1,1,2015
Swansea,Tottenham,2,2,2015
Chelsea,Aston Villa,2,0,2015
Crystal Palace,West Ham,1,3,2015
Everton,Man United,0,3,2015
Man City,Bournemouth,5,1,2015
Southampton,Leicester,2,2,2015
Tottenham,Liverpool,0,0,2015
Watford,Arsenal,0,3,2015
West Brom,Sunderland,1,0,2015
Newcastle,Norwich,6,2,2015
Swansea,Stoke,0,1,2015
Arsenal,Everton,2,1,2015
